Datum;Albatros;Husarenkappe;Corvus I;Corvus II;Terrasse;Weinstube;Sonnnenterrasse;Grand Etage;Barriqueraum;Weinbergterrasse;Eichelberg;Königsbecher;Tagung;HZ / GB;Firmenevent;Name;Mittagessen;Abendessen;Weinprobe;option;Heitlinger Hof;Kreuzberghof;AGB;Angebot;Menü;1te AZ;2te AZ
01.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
02.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
03.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
04.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
05.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
06.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
07.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
08.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
09.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
10.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
11.01.2026;;;;;;;;;;;;;;;;Betriebsferien Hotel Heitlinger Hof;;;;;;;;;;;
12.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.01.2026;;;;;;;;;;;13;;13;;;Schwarz Corporate Solutions KG;Weingut;x;;;x;x;x;x;;;
14.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.01.2026;;;;;;;;;;;13;;13;;;1&1 Telecommunication SE ;Weingut;Weingut;;;;;x;x;x;;
16.01.2026;;;;;;;;;;;13;;13;;;1&1 Telecommunication SE ;Weingut;Weingut;;;;;x;x;x;;
17.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.01.2026;;;;;;;;;;;;3;;;;PHIPS / PAT / MERGIM / WEBSITE;;;;;x;x;x;x;;;
21.01.2026;;;;;;;;4;;;;;4;;;apetito AG;Weingut 4Pax;Weingut 4Pax;x;;4;x;x;x;;;
22.01.2026;;;;;;;;14;;;;;14;;;apetito AG;Weingut 14Pax;Weingut 14Pax;x;;4;x;x;x;;;
23.01.2026;;;;;;;;14;;;;;14;;;apetito AG;Weingut 14Pax;x;14;;4;x;x;x;;;
24.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.01.2026;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;;
26.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
